Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
PHX,PHX vs. DET,02/28/2020,2019-20,L,240,111,45,75,60.0,9,23,39.1,12,17,70.6,5,33,38,31,9,5,18,14,-2
OKC,OKC vs. SAC,02/27/2020,2019-20,W,240,112,41,84,48.8,9,26,34.6,21,29,72.4,10,27,37,20,6,4,11,20,4
SAC,SAC @ OKC,02/27/2020,2019-20,L,240,108,41,91,45.1,12,35,34.3,14,14,100,12,33,45,30,6,2,15,33,-4
POR,POR @ IND,02/27/2020,2019-20,L,240,100,41,89,46.1,9,30,30.0,9,14,64.3,10,35,45,14,5,5,14,21,-6
IND,IND vs. POR,02/27/2020,2019-20,W,240,106,40,90,44.4,8,25,32.0,18,23,78.3,13,35,48,21,8,4,14,12,6
LAL,LAL @ GSW,02/27/2020,2019-20,W,240,116,45,88,51.1,8,24,33.3,18,27,66.7,8,36,44,24,13,5,17,17,30
GSW,GSW vs. LAL,02/27/2020,2019-20,L,240,86,34,80,42.5,9,32,28.1,9,10,90.0,5,32,37,27,7,3,27,27,-30
NYK,NYK @ PHI,02/27/2020,2019-20,L,240,106,42,83,50.6,8,23,34.8,14,24,58.3,9,30,39,28,2,3,8,11,-9
PHI,PHI vs. NYK,02/27/2020,2019-20,W,240,115,45,91,49.5,15,31,48.4,10,13,76.9,11,33,44,32,5,7,6,17,9
BKN,BKN @ WAS,02/26/2020,2019-20,L,240,106,36,87,41.4,10,36,27.8,24,35,68.6,15,41,56,15,7,1,18,24,-4
WAS,WAS vs. BKN,02/26/2020,2019-20,W,240,110,41,96,42.7,15,39,38.5,13,16,81.3,9,30,39,22,9,2,11,26,4
NYK,NYK @ CHA,02/26/2020,2019-20,L,240,101,43,85,50.6,4,15,26.7,11,17,64.7,13,29,42,22,5,6,15,24,-6
CHA,CHA vs. NYK,02/26/2020,2019-20,W,240,107,39,83,47.0,10,30,33.3,19,25,76.0,10,27,37,25,7,4,14,19,6
ORL,ORL @ ATL,02/26/2020,2019-20,W,240,130,49,100,49.0,14,32,43.8,18,25,72.0,13,39,52,30,7,9,9,21,10
ATL,ATL vs. ORL,02/26/2020,2019-20,L,240,120,42,94,44.7,13,36,36.1,23,25,92.0,9,33,42,30,5,5,9,22,-10
BOS,BOS @ UTA,02/26/2020,2019-20,W,240,114,45,84,53.6,11,26,42.3,13,16,81.3,9,35,44,21,7,4,9,17,11
UTA,UTA vs. BOS,02/26/2020,2019-20,L,240,103,40,89,44.9,12,40,30.0,11,15,73.3,13,28,41,16,5,3,10,16,-11
MIA,MIA vs. MIN,02/26/2020,2019-20,L,240,126,41,78,52.6,11,26,42.3,33,43,76.7,8,35,43,30,9,8,22,21,-3
MIN,MIN @ MIA,02/26/2020,2019-20,W,240,129,47,91,51.6,17,46,37.0,18,25,72.0,5,28,33,28,16,8,16,35,3
HOU,HOU vs. MEM,02/26/2020,2019-20,W,240,140,52,93,55.9,23,50,46.0,13,15,86.7,9,35,44,22,8,7,19,25,28
MEM,MEM @ HOU,02/26/2020,2019-20,L,240,112,43,108,39.8,13,39,33.3,13,21,61.9,22,27,49,28,9,3,16,16,-28
CLE,CLE vs. PHI,02/26/2020,2019-20,W,240,108,41,78,52.6,11,24,45.8,15,17,88.2,9,39,48,24,5,4,19,16,14
PHI,PHI @ CLE,02/26/2020,2019-20,L,240,94,36,89,40.4,13,38,34.2,9,14,64.3,8,23,31,22,13,9,9,11,-14
LAC,LAC @ PHX,02/26/2020,2019-20,W,240,102,37,84,44.0,14,38,36.8,14,15,93.3,11,35,46,22,11,2,16,22,10
PHX,PHX vs. LAC,02/26/2020,2019-20,L,240,92,34,87,39.1,9,34,26.5,15,18,83.3,14,34,48,29,8,3,16,17,-10
SAS,SAS vs. DAL,02/26/2020,2019-20,L,240,103,39,92,42.4,11,33,33.3,14,19,73.7,13,42,55,22,8,7,16,21,-6
DAL,DAL @ SAS,02/26/2020,2019-20,W,240,109,36,86,41.9,17,45,37.8,20,30,66.7,5,38,43,25,11,9,16,20,6
MIL,MIL @ TOR,02/25/2020,2019-20,W,240,108,32,84,38.1,14,42,33.3,30,36,83.3,8,45,53,23,10,10,14,19,11
TOR,TOR vs. MIL,02/25/2020,2019-20,L,240,97,32,91,35.2,18,52,34.6,15,21,71.4,9,34,43,21,4,5,17,26,-11
DET,DET @ DEN,02/25/2020,2019-20,L,240,98,33,81,40.7,15,41,36.6,17,21,81.0,12,21,33,24,8,2,16,26,-17
DEN,DEN vs. DET,02/25/2020,2019-20,W,240,115,44,76,57.9,9,19,47.4,18,22,81.8,9,32,41,33,12,3,18,20,17
CHA,CHA @ IND,02/25/2020,2019-20,L,240,80,31,93,33.3,10,33,30.3,8,18,44.4,13,26,39,22,10,1,11,13,-39
IND,IND vs. CHA,02/25/2020,2019-20,W,240,119,49,86,57.0,10,23,43.5,11,13,84.6,7,49,56,35,8,11,15,17,39
BOS,BOS @ POR,02/25/2020,2019-20,W,240,118,43,90,47.8,19,39,48.7,13,14,92.9,8,37,45,19,6,3,14,19,12
POR,POR vs. BOS,02/25/2020,2019-20,L,240,106,38,85,44.7,13,31,41.9,17,23,73.9,8,33,41,24,8,4,17,15,-12
CHI,CHI vs. OKC,02/25/2020,2019-20,L,240,122,52,97,53.6,12,31,38.7,6,9,66.7,13,26,39,22,6,4,11,25,-2
